stata_name,stcd,year,total_hosp_cost,total_hosp_revenue,hospital_beds,bedsize_cat,teaching_hospital,system_member,level_trauma,white,rural_area,herf_cat,herf_index,non_white,log_hosp_cost,log_hosp_revenue,total_hospital_beds,total_hospital_medicare_days,total_hospital_medicaid_days,interns_and_residents,total_hospital_employees_on_payr,total_hospital_non_paid_workers,total_hospital_medicare_discharg,total_hospital_medicaid_discharg,total_hospital_discharges,own
Arizona,86,2012,1.89E+07,1.73E+07,19,1,0,0,0,58.7,0,1,0,41.3,16.75435,16.66785,168.92,11551.5,8206.92,,855.048,,2695.488,2867,8879,0
Arizona,86,2012,8.01E+07,7.94E+07,88,3,0,0,0,58.5,0,1,2,41.5,18.19875,18.19,138.02,14629.86,2423.52,,1209.024,,4117.736,697,6998,1
Arizona,86,2012,1.47E+08,1.33E+08,134,4,0,0,0,82,0,1,2,18,18.80468,18.70265,74.16,3784.2,4354.38,,490.464,,1305.488,1253,4320,0
Arizona,86,2012,7.74E+07,8.81E+07,72,3,0,0,0,82,0,1,2,18,18.16424,18.29439,25.75,306,225.42,,132.84,,74.504,66,257,0
Arizona,86,2012,1.53E+08,1.41E+08,187,4,0,0,0,58.7,0,1,2,41.3,18.84588,18.76257,19.57,1545.3,98.94,,139.608,,259.096,18,429,2
Arizona,86,2012,1.60E+07,1.70E+07,21,1,0,0,0,20.4,1,0,2,79.6,16.58738,16.65044,20.6,1042.44,235.62,,185.148,,160.128,77,366,2
Arizona,86,2012,7.02E+08,7.55E+08,460,7,0,0,1,55.3,0,1,2,44.7,20.36947,20.4425,493.37,28329.48,46840.44,356.34,4570.98,,5216.392,9139,26341,2
Arizona,86,2012,2.07E+07,2.29E+07,14,1,0,0,3,58.5,0,1,2,41.5,16.84361,16.94799,237.93,5724.24,11063.94,95.39,1073.82,,1195.4,1481,6836,0
Arizona,86,2012,1.67E+08,1.72E+08,163,4,0,0,3,55.3,0,1,2,44.7,18.93446,18.96016,14.42,961.86,255,,154.62,,151.232,98,356,1
Arizona,86,2012,2.32E+07,2.06E+07,56,3,0,1,0,16,0,1,2,84,16.95965,16.84255,61.8,3816.84,1180.14,,307.2,,1159.816,312,2738,0
Arizona,86,2012,9.60E+07,1.20E+08,3550,4,0,1,0,58.7,0,1,0,41.3,18.37936,18.59896,37.08,1138.32,2433.72,,315.804,,433.68,660,2426,0
Arizona,86,2012,1.31E+08,1.49E+08,110,4,0,1,0,82,0,1,2,18,18.68941,18.82107,101.97,8494.56,3713.82,8,882.924,,2048.304,934,4332,1
Arizona,86,2012,1.81E+08,1.99E+08,460,5,0,1,0,58.7,0,1,0,41.3,19.01667,19.10902,360.5,12812.22,9098.4,,1110,,3155.856,2109,10925,1
Arizona,86,2012,5.37E+07,3.92E+07,3550,2,0,1,0,58.7,0,1,2,41.3,17.79862,17.48499,210.12,10312.2,9235.08,,1303.464,,2696.6,2715,12235,0
Arizona,86,2012,2.28E+08,2.45E+08,3550,6,0,1,0,58.7,0,1,0,41.3,19.24457,19.31838,354.32,27260.52,9731.82,,1711.284,,7236.896,2559,18413,1
Arizona,86,2012,3.15E+08,3.79E+08,267,5,0,1,1,55.2,0,2,2,44.8,19.56899,19.7525,252.35,16108.86,15733.5,,1894.188,,3968.728,3487,12895,2
Arizona,86,2012,2.64E+08,2.81E+08,460,5,0,1,1,58.7,0,1,0,41.3,19.39099,19.45325,273.98,17960.16,16340.4,,1704.816,,4232.272,3447,16298,2
Arizona,86,2012,4.70E+08,5.17E+08,3550,8,0,1,1,58.7,0,1,0,41.3,19.96899,20.06368,273.98,17960.16,16340.4,,1704.816,,4232.272,3447,16298,1
Arizona,86,2012,3.94E+08,4.35E+08,3550,7,0,1,1,58.7,0,1,0,41.3,19.79191,19.89182,273.98,17960.16,16340.4,,1704.816,,4232.272,3447,16298,1
Arizona,86,2012,3.48E+07,3.67E+07,25,2,0,1,3,65.9,0,1,2,34.1,17.36395,17.41857,,,,,,,,,,0
Arizona,86,2012,5.24E+07,5.62E+07,49,2,1,0,0,52.3,0,2,2,47.7,17.77366,17.8452,507.79,29487.18,40869.36,44.66,3096.06,,7225.776,8762,29644,1
Arizona,86,2012,4.28E+08,4.54E+08,553,8,1,0,0,55.3,0,1,2,44.7,19.8756,19.9329,50.47,2233.8,2249.1,,500.772,,563.784,654,2095,0
Arizona,86,2012,1.22E+08,1.23E+08,89,3,1,0,3,43.9,1,1,2,56.1,18.61977,18.62993,91.67,4144.26,5121.42,,788.256,,1223.2,1544,3712,0
Arizona,86,2012,2.23E+08,2.16E+08,3550,4,1,1,0,58.7,0,1,0,41.3,19.22436,19.19189,244.11,29369.88,2147.1,89.71,5149.536,,6878.832,264,12315,2
Arizona,86,2012,2.27E+08,2.68E+08,3550,6,1,1,0,58.7,0,1,0,41.3,19.24058,19.40528,397.58,38496.84,4977.6,1.88,2182.056,,9723.328,1340,22069,1
Arizona,86,2012,9.23E+08,9.84E+08,244,5,1,1,0,58.7,0,1,0,41.3,20.64341,20.70665,327.54,32268.72,11889.12,,1869.108,,8493.456,2780,20464,2
Arizona,86,2012,2.72E+08,2.95E+08,3550,7,1,1,0,58.7,0,1,0,41.3,19.42014,19.50291,169.95,8433.36,12750,,1059.324,,2466.416,4690,13654,0
Arizona,86,2012,6.06E+08,6.80E+08,3550,8,1,1,1,58.7,0,1,0,41.3,20.22179,20.33736,585.04,37101.48,53716.26,129.3,4415.16,,7460.408,10624,36275,0
Arizona,86,2012,1.98E+08,2.41E+08,3550,5,1,1,2,58.7,0,1,0,41.3,19.1031,19.30064,220.42,12159.42,24371.88,,1554.48,,3299.304,5620,18796,2
Arkansas,71,2012,8125045,7994666,49,2,0,0,0,84,0,1,2,16,15.91046,15.89429,111.24,8150.82,1690.14,,717.768,,2257.36,803,4634,2
Arkansas,71,2012,7.38E+07,7.72E+07,125,4,0,0,0,95.2,0,2,2,4.800003,18.11635,18.16157,120.51,11514.78,1907.4,,704.808,,2766.656,561,4925,1
Arkansas,71,2012,7.12E+07,7.71E+07,124,4,0,0,0,89,0,1,2,11,18.08072,18.16073,13.39,,1.02,,,,,1,1,2
Arkansas,71,2012,2.28E+07,2.36E+07,33,2,0,0,0,68.2,1,0,2,31.8,16.9437,16.97513,25.75,1785,57.12,,103.896,,394.76,26,502,1
Arkansas,71,2012,1.05E+07,1.03E+07,85,3,0,0,0,71,1,0,2,29,16.16907,16.143,25.75,1164.84,44.88,,178.392,,306.912,22,395,1
Arkansas,71,2012,1.62E+07,1.88E+07,25,2,0,0,0,40.3,1,0,2,59.7,16.60155,16.75008,25.75,1051.62,194.82,,117.936,,259.096,62,414,2
Arkansas,71,2012,9525674,8233617,25,2,0,0,0,92.2,1,0,2,7.800003,16.0695,15.92374,25.75,2970.24,762.96,,180.468,,760.608,429,1243,2
Arkansas,71,2012,2.08E+07,2.22E+07,72,3,0,0,0,84.1,1,0,2,15.9,16.85083,16.91463,25.75,3277.26,839.46,,177.708,,684.992,144,1136,2
Arkansas,71,2012,1.90E+07,1.95E+07,35,2,0,0,0,58,1,0,2,42,16.75869,16.7843,25.75,1048.56,140.76,,108.792,,253.536,47,380,1
Arkansas,71,2012,7280002,6124331,26,2,0,0,0,95,1,0,2,5,15.80064,15.62778,25.75,2063.46,1147.5,,203.184,,529.312,427,1213,2
Arkansas,71,2012,8981868,8779914,25,2,0,0,0,46.8,1,0,2,53.2,16.01072,15.98798,25.75,2063.46,1147.5,,203.184,,529.312,427,1213,2
Arkansas,71,2012,1.80E+08,1.80E+08,333,6,0,0,2,41.4,0,2,2,58.6,19.00796,19.00953,226.6,21352.68,3790.32,16.25,1445.7,,5354.28,1043,11444,1
Arkansas,71,2012,1.61E+08,1.64E+08,266,5,0,0,3,96,0,1,2,4,18.89993,18.91253,284.28,39680.04,10245.9,16.76,1947.264,,8560.176,2906,17086,0
Arkansas,71,2012,5.86E+07,5.84E+07,125,4,0,0,3,95.4,0,1,2,4.599998,17.88697,17.88236,117.42,10665.12,2298.06,,700.38,,2274.04,863,4928,2
Arkansas,71,2012,1.34E+08,1.34E+08,146,4,0,0,3,82.4,0,1,2,17.6,18.71023,18.71331,172.01,20803.92,2783.58,,1168.872,,5972.552,939,9666,2
Arkansas,71,2012,2.37E+08,2.55E+08,375,6,0,0,3,79.6,0,2,2,20.4,19.28277,19.35728,172.01,20803.92,2783.58,,1168.872,,5972.552,939,9666,2
Arkansas,71,2012,3.19E+07,3.25E+07,80,3,0,0,3,83.5,1,0,2,16.5,17.2775,17.29597,59.74,3112.02,1345.38,,344.82,,821.768,550,2632,2
Arkansas,71,2012,2.39E+07,3.39E+07,143,4,0,0,3,94.1,1,0,2,5.900002,16.99044,17.34006,30.9,1881.9,263.16,,171.948,,603.816,73,815,1
Arkansas,71,2012,1.65E+07,1.69E+07,46,2,0,0,3,95.9,1,0,2,4.099998,16.62067,16.64345,25.75,2254.2,130.56,,210.636,,449.248,35,600,0
Arkansas,71,2012,1.85E+07,1.91E+07,41,2,0,0,4,76.7,0,1,2,23.3,16.73334,16.76492,,,,,,,,,,2
Arkansas,71,2012,1.34E+07,1.19E+07,25,2,0,0,4,46.8,1,0,2,53.2,16.41199,16.29221,25.75,1712.58,548.76,,140.916,,385.864,227,834,1
Arkansas,71,2012,9563577,8258766,25,2,0,1,0,93.8,0,1,2,6.199997,16.07347,15.92679,220.42,29111.82,4643.04,,1369.116,,6231.648,1279,10879,0
Arkansas,71,2012,1.78E+08,1.75E+08,282,5,0,1,0,84,0,1,2,16,18.9969,18.9805,164.8,10821.18,2282.76,,973.464,,3209.232,913,8682,1
Arkansas,71,2012,1.58E+08,1.78E+08,141,4,0,1,0,76.6,0,1,2,23.4,18.88097,18.99704,25.75,1110.78,80.58,,70.944,,224.624,18,307,1
Arkansas,71,2012,1.02E+07,7574942,24,1,0,1,0,85.3,1,0,2,14.7,16.13752,15.84036,24.72,1094.46,60.18,,53.4,,264.656,17,377,1
Arkansas,71,2012,1.51E+08,1.56E+08,171,4,0,1,2,89.8,0,1,2,10.2,18.83054,18.86587,442.9,47683.98,10017.42,5,1928.376,,9634.368,2162,20543,2
Arkansas,71,2012,3.57E+08,3.23E+08,409,7,0,1,2,55.3,0,1,1,44.7,19.69448,19.59453,142.14,21330.24,3384.36,,1202.796,,4393.512,1182,8000,1
Arkansas,71,2012,4.74E+08,4.73E+08,703,8,0,1,2,55.3,0,1,1,44.7,19.97661,19.97376,691.13,70966.5,12676.56,5.5,3352.536,,13084.904,3029,32377,2
Arkansas,71,2012,2.22E+08,1.99E+08,374,6,0,1,3,72.8,0,1,2,27.2,19.21836,19.11002,302.82,26373.12,4982.7,,1558.8,,5163.016,1518,12147,0
Arkansas,71,2012,1.25E+07,1.36E+07,20,1,0,1,3,67.4,0,0,2,32.6,16.34282,16.42407,25.75,2405.16,158.1,,142.2,,444.8,49,668,2
Arkansas,71,2012,1.63E+07,1.99E+07,25,2,0,1,3,84,1,0,2,16,16.60686,16.80791,25.75,1399.44,181.56,,169.704,,384.752,62,727,2
Arkansas,71,2012,7635363,6872063,16,1,0,1,4,92.2,1,0,2,7.800003,15.8483,15.74298,16.48,861.9,17.34,,51.816,,140.112,7,174,2
Arkansas,71,2012,6.05E+07,5.55E+07,142,4,1,0,0,45.2,0,1,2,54.8,17.9181,17.83119,126.69,8201.82,2879.46,9,572.868,,1688.016,1039,3657,2
California,93,2012,8.37E+07,8.64E+07,106,4,0,0,0,38,0,2,2,62,18.24239,18.27405,215.27,19378.98,8950.5,,1236.408,,3642.912,1993,10069,2
California,93,2012,2.31E+07,2.02E+07,45,2,0,0,0,75.2,0,2,2,24.8,16.95381,16.82317,354.32,41602.74,2518.38,,3142.8,,9791.16,522,17775,0
California,93,2012,2.42E+08,2.25E+08,354,6,0,0,0,46.7,0,1,2,53.3,19.30451,19.23256,161.71,14347.32,3139.56,,1226.292,,2643.224,466,7148,0
California,93,2012,9.66E+07,1.11E+08,54,3,0,0,0,41.9,0,1,2,58.1,18.38582,18.52615,342.99,17475.66,33372.36,,1618.824,,3384.928,8768,16195,1
California,93,2012,2.58E+08,2.94E+08,279,5,0,0,0,33.3,0,1,1,66.7,19.36954,19.49981,109.18,7997.82,10123.5,,798.78,,1407.792,3150,4919,1
California,93,2012,2.63E+08,3.03E+08,345,6,0,0,0,48.7,0,1,2,51.3,19.38597,19.52821,55.62,4399.26,989.4,,345.492,,840.672,174,1917,0
California,93,2012,3.85E+08,4.66E+08,235,5,0,0,0,32.9,0,2,2,67.1,19.76832,19.96018,249.26,15628.44,7954.98,1,1809.6,,3620.672,1685,12906,0
California,93,2012,4.86E+08,5.21E+08,377,6,0,0,0,27.8,0,1,0,72.2,20.00236,20.07216,321.36,26351.7,7998.84,,2909.496,,5955.872,2082,23435,2
California,93,2012,5.25E+08,4.99E+08,540,8,0,0,0,39.7,0,1,2,60.3,20.07814,20.02845,287.37,16533.18,4152.42,,1958.664,,3880.88,864,15273,1
California,93,2012,3.09E+08,3.20E+08,843,6,0,0,2,27.8,0,1,0,72.2,19.54885,19.58282,322.39,23063.22,24211.74,8.1,1622.808,,4431.32,4284,13660,1
California,93,2012,2.88E+08,3.17E+08,212,5,0,0,3,58.8,0,2,2,41.2,19.47863,19.57406,309,27895.98,16155.78,,1423.416,,6154.92,3730,13004,0
California,93,2012,3.22E+08,3.34E+08,157,4,0,0,3,40.8,0,2,2,59.2,19.58895,19.62522,185.4,13104.96,2485.74,,1695.288,,3135.84,551,8198,0
California,93,2012,5.57E+07,5.67E+07,25,2,0,0,4,79.5,1,1,2,20.5,17.83623,17.85366,25.75,2215.44,1472.88,,434.592,,718.352,384,1537,0
California,93,2012,3.74E+07,4.62E+07,25,2,0,1,0,77.2,0,2,2,22.8,17.43634,17.64939,250.29,24774.78,15975.24,,1715.748,,4708.208,2910,14821,1
California,93,2012,5.94E+07,7.33E+07,78,3,0,1,0,47.9,0,2,2,52.1,17.89945,18.10939,107.12,9324.84,2806.02,,710.172,,2688.816,686,5062,0
California,93,2012,3.08E+08,3.25E+08,255,5,0,1,0,38.6,0,1,2,61.4,19.5469,19.60048,71.07,6690.18,1771.74,,453.816,,2030.512,475,4037,0
California,93,2012,2.43E+08,2.08E+08,271,5,0,1,0,27.8,0,1,0,72.2,19.30917,19.1532,60.77,2642.82,418.2,,375.6,,785.072,71,2661,1
California,93,2012,1.87E+08,2.07E+08,152,4,0,1,0,81.9,0,2,2,18.1,19.04803,19.14685,54.59,5389.68,57.12,,406.8,7.84,1584.6,16,2727,0
California,93,2012,1.03E+08,1.09E+08,1242,3,0,1,0,76.1,0,1,2,23.9,18.45084,18.50496,269.86,17737.8,1768.68,,1986.924,,4334.576,353,11887,2
California,93,2012,2.24E+08,2.48E+08,1783,4,0,1,0,42.3,0,1,2,57.7,19.22678,19.32805,105.06,6401.52,1148.52,,535.548,,1491.192,296,5027,0
California,93,2012,4.00E+07,4.76E+07,25,2,0,1,0,68.6,0,2,2,31.4,17.5039,17.67836,58.71,2053.26,30.6,,257.484,,651.632,13,1288,0
California,93,2012,1.86E+08,1.99E+08,128,4,0,1,0,77.2,0,2,2,22.8,19.04287,19.10839,449.08,52339.26,11078.22,,2757.108,,11454.712,2545,29946,0
California,93,2012,1.39E+07,1.69E+07,10,1,0,1,0,47.9,0,2,2,52.1,16.44688,16.64142,318.27,19595.22,8000.88,,3532.908,,4809.4,2558,18288,1
California,93,2012,9.60E+07,1.24E+08,545,3,0,1,0,35.9,0,2,2,64.1,18.38029,18.63943,30.9,460.02,531.42,,149.232,,163.464,101,1630,0
California,93,2012,6.73E+07,6.66E+07,1783,3,0,1,0,71.1,0,2,2,28.9,18.02411,18.01483,141.11,13417.08,4460.46,,789.12,,3066.896,1034,7860,0
California,93,2012,1.33E+08,1.25E+08,1242,4,0,1,0,40.8,0,2,2,59.2,18.70688,18.64669,287.37,12643.92,358.02,,970.224,,2887.864,239,6935,1
California,93,2012,1.41E+08,1.60E+08,121,4,0,1,0,86.5,0,2,2,13.5,18.76573,18.88831,84.46,6355.62,1924.74,,542.568,,1518.992,592,3975,0
California,93,2012,4.87E+08,5.04E+08,393,6,0,1,0,42.3,0,1,2,57.7,20.00318,20.03885,11.33,660.96,,,73.068,,199.048,,304,1
California,93,2012,5.04E+07,6.82E+07,237,2,0,1,0,59.6,0,2,2,40.4,17.7354,18.03785,196.73,13620.06,6043.5,,1190.4,30.24,3439.416,3210,12848,2
California,93,2012,4.55E+08,4.80E+08,436,7,0,1,0,32.7,0,2,2,67.3,19.93521,19.98838,115.36,7485.78,405.96,,530.4,12.32,2234.008,109,4481,0
California,93,2012,6.83E+07,6.96E+07,25,2,0,1,0,74.1,0,2,2,25.9,18.03876,18.05868,25.75,3230.34,292.74,,264.048,,702.784,108,1296,0
California,93,2012,6.46E+08,6.89E+08,379,6,0,1,0,44.1,0,1,2,55.9,20.28577,20.3507,329.6,24360.66,5361.12,4.58,1061.004,,4736.008,938,8570,1
California,93,2012,2.78E+08,2.82E+08,1783,5,0,1,0,47.9,0,2,2,52.1,19.44332,19.45811,86.52,12898.92,3023.28,,1032.972,,2607.64,788,5029,0
California,93,2012,9.73E+07,1.02E+08,1783,4,0,1,0,71.1,0,2,2,28.9,18.39368,18.43843,266.77,21607.68,9158.58,,2021.328,,4560.312,1911,20603,1
California,93,2012,1.59E+08,1.53E+08,1208,4,0,1,0,47.8,0,2,2,52.2,18.88354,18.84627,266.77,21607.68,9158.58,,2021.328,,4560.312,1911,20603,1
California,93,2012,5.33E+07,5.68E+07,25,2,0,1,0,83.5,1,1,2,16.5,17.79122,17.85493,25.75,3086.52,588.54,,245.52,,867.36,167,1348,0
California,93,2012,6.03E+07,6.46E+07,1242,2,0,1,0,79.6,1,1,2,20.4,17.91459,17.98439,43.26,4098.36,1166.88,,308.088,,1142.024,396,2224,1
California,93,2012,4.37E+08,4.96E+08,407,7,0,1,2,44.1,0,1,2,55.9,19.89648,20.02287,806.49,27886.8,30456.18,,3858,,5838,3777,30291,0
California,93,2012,4.52E+08,5.14E+08,384,6,0,1,2,44.1,0,1,2,55.9,19.92842,20.05856,314.15,19738.02,1961.46,,2680.8,,4512.496,822,13759,1
California,93,2012,3.48E+08,3.73E+08,272,5,0,1,2,66.1,0,2,2,33.9,19.66828,19.73579,269.86,26679.12,4160.58,,1502.376,,5537.76,742,11481,0
California,93,2012,4.81E+08,5.79E+08,545,7,0,1,2,46.7,0,1,2,53.3,19.99043,20.17665,379.04,37915.44,4533.9,,2933.34,,7730.624,479,19723,0
California,93,2012,7.63E+08,8.31E+08,367,6,0,1,2,47.8,0,2,2,52.2,20.45262,20.53808,478.95,29534.1,5441.7,,2446.992,,6411.792,1025,19685,0
California,93,2012,1.03E+08,1.13E+08,62,3,0,1,3,68.6,0,2,2,31.4,18.4536,18.54419,458.35,31575.12,21291.48,,3073.2,,8241.032,4480,26677,0
California,93,2012,2.57E+08,2.78E+08,174,4,0,1,3,56.4,0,2,2,43.6,19.36634,19.44479,58.71,5391.72,3190.56,,618.588,,1666.888,669,3994,0
California,93,2012,6.63E+07,7.13E+07,237,2,0,1,4,74.1,0,2,2,25.9,18.0099,18.0818,25.75,3918.84,1512.66,,328.332,,1056.4,427,1969,2
California,93,2012,6.74E+07,6.46E+07,49,2,0,1,4,64.7,0,2,2,35.3,18.02684,17.98408,50.47,3805.62,1477.98,,444,,1037.496,495,2255,0
California,93,2012,1.06E+08,1.16E+08,250,5,1,0,0,27.8,0,1,0,72.2,18.47759,18.56939,403.76,18557.88,13225.32,18.74,2627.136,,4271.192,2621,18593,0
California,93,2012,1.82E+08,1.79E+08,181,4,1,0,0,27.8,0,1,0,72.2,19.02136,19.00235,195.7,17574.6,7257.3,,1110,,3387.152,728,6989,2
California,93,2012,6.36E+07,5.99E+07,125,4,1,0,0,27.8,0,1,0,72.2,17.96887,17.9083,412,18707.82,50171.76,17.65,2959.068,45.6288,3696.288,7583,22045,1
California,93,2012,4.56E+08,4.66E+08,453,7,1,0,0,27.8,0,1,0,72.2,19.93762,19.9598,198.79,9593.1,11720.82,,902.292,,1704.696,2321,9361,0
California,93,2012,1.64E+08,1.66E+08,214,5,1,0,0,35.9,0,2,2,64.1,18.91792,18.92596,204.97,14933.82,6092.46,25.42,1263.036,,3233.696,1464,11678,2
California,93,2012,1.82E+08,2.03E+08,189,4,1,0,0,33.3,0,1,1,66.7,19.02069,19.12927,176.13,8307.9,7429.68,,1357.212,,1823.68,1074,10992,2
California,93,2012,2.90E+08,2.91E+08,394,6,1,0,0,27.8,0,1,0,72.2,19.4847,19.48806,71.07,3470.04,1420.86,,625.608,,668.312,393,2227,0
California,93,2012,1.41E+08,1.44E+08,193,4,1,0,0,39.7,0,1,2,60.3,18.76512,18.78362,359.47,32444.16,8875.02,,1801.86,,6362.864,2165,15236,0
California,93,2012,1.11E+08,1.35E+08,117,4,1,0,0,79.9,0,1,2,20.1,18.52687,18.71942,110.21,8471.1,3358.86,,333.6,,1745.84,436,3323,1
California,93,2012,2.34E+09,2.72E+09,892,8,1,0,1,27.8,0,1,0,72.2,21.57244,21.72396,893.01,108793.2,21537.3,281.04,12476.9,,20222.832,3768,54117,0
California,93,2012,5.12E+08,5.27E+08,540,8,1,0,1,27.8,0,1,0,72.2,20.05353,20.08344,507.79,42753.3,16850.4,38.44,3241.824,,8921.576,3280,29677,2
California,93,2012,4.24E+08,4.09E+08,265,5,1,0,2,75.2,0,2,2,24.8,19.86492,19.82912,245.14,34207.74,11133.3,,2235.012,,7790.672,2640,14466,0
California,93,2012,4.56E+07,5.51E+07,545,2,1,1,0,31.9,0,2,2,68.1,17.63599,17.82474,250.29,23731.32,5279.52,,1562.388,,6232.76,1291,17397,1
California,93,2012,2.57E+08,2.89E+08,1783,5,1,1,0,38.6,0,1,2,61.4,19.36649,19.4812,319.3,21239.46,37095.36,65.2,1879.668,,4125.52,7663,19260,0
California,93,2012,6.88E+07,7.54E+07,105,4,1,1,0,27.8,0,1,0,72.2,18.04629,18.13839,201.88,23311.08,7839.72,3.48,1583.532,,4829.416,1491,11678,0
California,93,2012,2.25E+08,2.27E+08,1783,5,1,1,0,41.9,0,1,2,58.1,19.23295,19.23893,108.15,6876.84,2618.34,,519.432,,1426.696,556,5533,1
California,93,2012,2.15E+08,2.27E+08,239,5,1,1,0,41.9,0,1,2,58.1,19.18742,19.23952,47.38,2271.54,871.08,,271.02,,440.352,498,1557,0
California,93,2012,3.03E+08,2.88E+08,429,7,1,1,0,42.3,0,1,2,57.7,19.53045,19.47883,495.43,32617.56,30962.1,,2343.648,,6134.904,6172,24965,0
California,93,2012,2.57E+08,2.51E+08,1783,4,1,1,0,48.7,0,1,2,51.3,19.3656,19.33908,333.72,18473.22,7017.6,23.43,1416.36,,3808.6,1196,11694,1
California,93,2012,4.24E+08,4.40E+08,308,5,1,1,0,35.9,0,2,2,64.1,19.8658,19.90233,49.44,2147.1,1880.88,2.47,346.032,,781.736,418,3403,1
California,93,2012,3.98E+08,4.93E+08,1242,6,1,1,0,76.1,0,1,2,23.9,19.80239,20.01652,209.09,22103.4,11735.1,,1752.276,,4546.968,1973,16985,0
California,93,2012,1.65E+08,1.71E+08,237,4,1,1,0,66.1,0,2,2,33.9,18.92076,18.95716,118.45,7294.02,4860.3,33.44,786.528,,1545.68,949,5553,2
California,93,2012,3.07E+08,3.38E+08,1783,7,1,1,0,38.6,0,1,2,61.4,19.54179,19.63939,357.41,18942.42,594.66,,2135.172,,3977.624,46,18403,0
California,93,2012,3.49E+08,3.92E+08,280,5,1,1,0,27.8,0,1,0,72.2,19.67196,19.78563,83.43,9296.28,299.88,,414.3,,2102.792,52,3554,0
California,93,2012,2.14E+08,1.92E+08,377,6,1,1,0,33.3,0,1,1,66.7,19.18305,19.0741,228.66,13963.8,4507.38,,1597.776,,2970.152,976,12995,0
California,93,2012,6.19E+08,6.38E+08,1208,8,1,1,0,34.1,0,2,1,65.9,20.24354,20.27417,330.63,39554.58,19197.42,21.62,2168.232,,6599.72,3462,17016,1
California,93,2012,3.19E+08,2.96E+08,202,5,1,1,0,35.2,0,1,2,64.8,19.58065,19.50631,140.08,12128.82,1571.82,38.76,1095.9,,2598.744,497,5491,0
California,93,2012,8.64E+07,8.94E+07,1783,4,1,1,0,48.7,0,1,2,51.3,18.27474,18.30842,249.26,19724.76,10520.28,,1348.8,,4381.28,1678,11803,0
California,93,2012,5.84E+08,8.60E+08,1242,8,1,1,0,48.4,0,1,2,51.6,20.18609,20.57282,361.53,28653.84,479.4,,2014.176,,5956.984,78,13311,1
California,93,2012,1.80E+08,1.87E+08,86,3,1,1,0,75.2,0,2,2,24.8,19.00667,19.04876,154.5,10306.08,3659.76,0.34,1015.788,,1861.488,907,4816,0
California,93,2012,4.45E+08,4.97E+08,1208,7,1,1,0,34.1,0,2,1,65.9,19.91463,20.02374,103,12607.2,5643.66,,896.076,33.7456,2987.944,1440,5358,0
California,93,2012,4.00E+08,4.06E+08,414,7,1,1,0,27.8,0,1,0,72.2,19.80721,19.82267,430.54,18347.76,11667.78,,1634.652,,3976.512,1946,17647,1
California,93,2012,7.77E+07,9.80E+07,1242,2,1,1,0,49.9,0,1,2,50.1,18.16791,18.40094,673.62,31703.64,901.68,19.55,3140.076,,7552.704,1,30364,0
California,93,2012,2.59E+08,2.77E+08,186,4,1,1,0,33.3,0,1,1,66.7,19.37299,19.43956,348.14,30794.82,9649.2,,2424.216,,6278.352,1387,15930,1
California,93,2012,7.00E+08,3.09E+08,233,5,1,1,0,27.8,0,1,0,72.2,20.36589,19.54896,206,5702.82,15381.6,,1098,,1168.712,2781,8499,0
California,93,2012,3.53E+08,3.77E+08,515,5,1,1,0,27.8,0,1,0,72.2,19.68219,19.74743,273.98,24826.8,577.32,,1567.56,,6129.344,159,14351,0
California,93,2012,2.13E+08,2.19E+08,94,3,1,1,0,35.2,0,2,2,64.8,19.17685,19.20404,273.98,24826.8,577.32,,1567.56,,6129.344,159,14351,2
California,93,2012,1.17E+09,1.25E+09,815,8,1,1,1,33.3,0,1,1,66.7,20.88006,20.94458,449.08,48327.6,1.02,443.94,8009.076,,9276.304,1,24337,1
California,93,2012,2.27E+09,2.74E+09,477,7,1,1,1,35.2,0,1,2,64.8,21.5446,21.73159,816.79,33636.54,82089.6,421.31,7830,,6377.32,13616,31168,0
California,93,2012,2.89E+08,2.89E+08,271,5,1,1,2,34.1,0,2,1,65.9,19.48238,19.48058,255.44,22637.88,6353.58,,1510.644,,5415.44,1387,9128,0
California,93,2012,3.81E+08,4.25E+08,323,6,1,1,2,27.8,0,1,0,72.2,19.7572,19.86796,349.17,18341.64,43884.48,,2075.04,,3143.624,5653,19001,1
California,93,2012,5.08E+08,5.64E+08,345,6,1,1,2,47.9,0,2,2,52.1,20.04589,20.15019,381.1,25953.9,4908.24,45.78,2520.888,,5799.08,852,17153,1
Florida,39,2012,3.29E+08,3.37E+08,394,6,0,0,0,60.1,0,1,2,39.9,19.61214,19.63488,376.98,43137.84,2826.42,,2151.936,,9767.808,466,15989,0
Florida,39,2012,8631059,1.02E+07,25,2,0,0,0,55,1,2,2,45,15.97088,16.13537,49.44,1423.92,533.46,,303.876,,443.688,220,973,1
Florida,39,2012,9755799,9524535,25,2,0,0,0,77.7,1,2,2,22.3,16.09337,16.06938,15.45,3586.32,160.14,,122.1,,326.928,40,478,1
Florida,39,2012,2.76E+07,2.76E+07,45,2,0,0,0,73,1,2,2,27,17.13372,17.13183,25.75,2892.72,51,,98.52,,272.44,14,393,1
Florida,39,2012,5.05E+08,3.89E+08,565,8,0,0,3,15.4,0,0,2,84.6,20.03913,19.77934,529.42,56141.82,18136.62,84.62,2239.62,,8383.368,2151,20552,1
